index,original,translation,scores,mean,z_scores,z_mean,QE_score
248,"Suspicious of Laila and Tariq's relationship, Rasheed savagely beats Laila.",???? ?? ????? ?? ?????? ?? ????? ???? ?? ???? ?? ???? ?? ???? ??? ?????,"[90, 85, 88, 86]",87.25,"[0.10844457902530406, -0.2580081099272549, 1.622910718024002, 1.0614901149588978]",0.633709326,0.720645189
249,Cartooning and other forms of illustration are the most common image-making means in comics; fumetti is a form that uses photographic images.,?????????? ?? ?????? ?? ???? ??? ??????? ??? ???? ?? ????-????? ?? ???? ???-???????? ?? ??? ??? ?? ?? ??????????? ?????? ?? ????? ???? ???,"[90, 90, 79, 75]",83.5,"[0.10844457902530406, 0.17855383580414114, 0.6995198682189685, 0.07430789780064002]",0.265206545,0.77954942
250,"So, that is the special consideration that has been taken while the Add method is implemented in their Set related classes like say Hash Set or Tree Set like there.","??, ?? ????? ????? ?? ???? ???? ??? ?? ??????? ??????? ??? ???? ???? ??? ?? ???? ?? ??? ??? ?? ???? ????","[70, 75, 50, 69]",66,"[-1.6128979451858647, -1.1311320013900472, -2.275850647819473, -0.4641551297402278]",-1.371008931,0.589160383
251,"Now here before going to having the facility of java collection framework regarding stack related management, I want to mention one thing, there is no in its present what is called the sdk, jdk 5 onwards, jdk, there is no explicitly stacked class is there.","?? ???? ????? ?? ??????? ??????? ?? ????? ??? ???? ??????? ????????? (java collection framework) ?? ?????? ?? ????, ??? ?? ??? ?? ?????? ???? ????? ???, ???? ??????? ??? ??? ?? ???? ?? ???? sdk, jdk 5 ?? ???, jdk ??? ???? ??, ??? ?????? ??? ?? ??????? ????? (stacked class) ???? ???","[85, 85, 81, 81]",83,"[-0.32189105202748813, -0.2580081099272549, 0.9047178348423093, 0.6127709253415079]",0.2343974,0.567560434
252,Let’s change this and use Data series in rows.,??? ??? ????? ??? ?? ????????? ??? ???? ???????? ?? ????? ???? ????,"[95, 95, 78, 66]",83.5,"[0.5387802100780963, 0.6151157815355373, 0.5969208849072981, -0.7333866435106617]",0.254357558,0.739646137
253,Now let us execute the uwrite and uread user program in two terminals.,?? ?? ?? ????????? ??? uwrite ?? ured ?????????? ????????? ????????? ???? ????,"[80, 75, 70, 67]",73,"[-0.7522266830802803, -1.1311320013900472, -0.22387098158606503, -0.6436428055871838]",-0.687718118,0.639051497
254,"You will find the corresponding buttons in the dialog-box as well- the Red button to record, the Grey button to pause and the Blue button to stop the recording.","???? ??????-????? ??? ??????? ??? ?? ???????-??????? ???? ?? ??? ??? ???, ????? ?? ??? ???? ??? ?? ?????????? ?? ????? ?? ??? ???? ????","[80, 85, 74, 69]",77,"[-0.7522266830802803, -0.2580081099272549, 0.18652495166061656, -0.4641551297402278]",-0.321966243,0.712801397
255,"Here, library member is a base class and faculty students and staff are the derived class, whatever attributes and methods defined in the base class are implicitly available - the faculty students and staff.","????, ????????? ?? ????? ?? ??? ????? ?? ?? ????? ?? ????? ?? ???????? ?????????? ????? ???, ?? ?? ????????? ?? ????? ??? ????? ??? ???????? ??? ?? ???-????? ?? ????? ?? ?????????","[90, 80, 89, 82]",85.25,"[0.10844457902530406, -0.694570055658651, 1.7255097013356724, 0.7025147632649859]",0.460474747,0.623594284
256,"It will start glowing only when either of the switches are pressed, but not both.","?? ??? ????? ????? ?? ????? ??? ?? ???? ?? ????? ?? ????? ?????, ????? ????? ?? ?????","[100, 100, 71, 74]",86.25,"[0.9691158411308884, 1.0516777272669333, -0.12127199827439462, -0.015435940122837947]",0.471021408,0.677797139
257,"Next, for N-butane, type 0.2 and press Enter.",???? ??? N-butane ?? ??? ???? ???? 0.2 ?? Enter ??????,"[95, 80, 75, 57]",76.75,"[0.5387802100780963, -0.694570055658651, 0.28912393497228694, -1.5410811848219634]",-0.351936774,0.710967958
258,"Once the package is downloaded, we will be prompted to choose one of the following options: Proceed with installation (default) Customize installation Cancel installation","?? ??? ????? ??????? ???? ?? ???, ???? ?????????? ???????? ??? ?? ?? ?? ??? ???? ?? ??? ??????? ???? ?????? ?????????? ?? ??? ??? ????? (????????) ?????????? ?? ???????? ???? ?????????? ???? ????","[95, 95, 70, 70]",82.5,"[0.5387802100780963, 0.6151157815355373, -0.22387098158606503, -0.3744112918167498]",0.13890343,0.733581543
259,"border-box Padding and border assigned to an element is adjusted in the width and height property. And the content area shrinks to accommodate them. In the total or final width and height, padding and border are not added.","??????-????? ?????? ?? ???? ???? ?? ????? ??? ?????? ?????? ?? ????? ??? ??? ???????? ???? ???? ??. ?? ?????? ???????? ???? ?? ??? ??????? ??????? ???????? ??. ??? ?? ????? ?????? ?? ????? ???, ?????? ?? ???? ???? ????? ???? ??.","[95, 90, 77, 75]",84.25,"[0.5387802100780963, 0.17855383580414114, 0.4943219015956277, 0.07430789780064002]",0.321490961,0.508231103
260,"Here, you can see all my profile details.",???? ?? ???? ???? ???????? ??? ???? ????,"[65, 80, 90, 91]",81.5,"[-2.0432335762386566, -0.694570055658651, 1.8281086846473429, 1.5102093045762877]",0.150128589,0.808429599
261,You can see the message which is sent now.,"?? ?? ????? ???? ?? ??? ??, ?? ?? ??? ???? ????","[80, 90, 57, 69]",74,"[-0.7522266830802803, 0.17855383580414114, -1.5576577646377803, -0.4641551297402278]",-0.648871435,0.769055545
262,Take salt according to your taste.,???? ????? ?? ?????? ??? ????,"[100, 95, 90, 76]",90.25,"[0.9691158411308884, 0.6151157815355373, 1.8281086846473429, 0.164051735724118]",0.894098011,0.76070112
263,reshape is used to change the shape of the array to 2 rows and 4 columns.,????? ?? ????? ???? ?? ???? ?? 2 ????????? ?? 4 ??????? ??? ????? ?? ??? ???? ???? ???,"[90, 90, 67, 69]",79,"[0.10844457902530406, 0.17855383580414114, -0.5316679315210762, -0.4641551297402278]",-0.177206162,0.715830028
264,Cosine value is displayed in Algebra view.,?????? ??? ??????? ????? ??? ????????? ???? ???? ???,"[85, 90, 75, 74]",81,"[-0.32189105202748813, 0.17855383580414114, 0.28912393497228694, -0.015435940122837947]",0.032587695,0.710868359
265,Once again we will Save & Run the program.,?? ??? ??? ?? ????????? ?? ???????? ?? ????????,"[65, 90, 75, 43]",68.25,"[-2.0432335762386566, 0.17855383580414114, 0.28912393497228694, -2.7974949157506552]",-1.09326268,0.711553752
266,Click on Animation from the sub-menu.,??-???? ?? ??????? ?? ????? ?????,"[100, 100, 77, 89]",91.5,"[0.9691158411308884, 1.0516777272669333, 0.4943219015956277, 1.3307216287293318]",0.961459275,0.757204831
267,"Now, let us consider few more construction of binary search tree for the same number of elements, so here I have listed few.","??, ??? ?? ???? ?????? ?? ?????? ?? ??? ?????? ???? ???? (binary search tree) ?? ??? ?? ??????? ?? ????? ????, ????? ???? ????? ??? ???????? ??? ????","[85, 90, 76, 71]",80.5,"[-0.32189105202748813, 0.17855383580414114, 0.39172291828395733, -0.28466745389327186]",-0.009070438,0.6520105
268,Type gcc space hyphen c space user-read-write dot c Then type the command as shown here.,???? ???? gcc space hyphen c space user-read-write dot c ??? ???? ???? ????? ???? ?? ???? ?????? ??? ??.,"[80, 75, 43, 66]",66,"[-0.7522266830802803, -1.1311320013900472, -2.9940435310011657, -0.7333866435106617]",-1.402697215,0.63585031
269,"On QGIS canvas, Rainfall layer will be added in the Layers Panel.","?????????? ?????? ??, ????? ?? ??? ?? ??? ???? ??? ????? ??????","[85, 80, 71, 75]",77.75,"[-0.32189105202748813, -0.694570055658651, -0.12127199827439462, 0.07430789780064002]",-0.265856302,0.698027313
270,"Below, there is an option- Drop the databases that have same names as the users, Click on it.","???? ?? ?????? ??-???????????? ?? ???? ??? ???? ??????? ?? ???? ???, ?? ?? ????? ?????","[90, 90, 85, 60]",81.25,"[0.10844457902530406, 0.17855383580414114, 1.3151137680889908, -1.2718496710515297]",0.082565628,0.726548731
271,The software interface opens along with a window.,????????? ??????? ?? ????? ?? ??? ????? ???,"[100, 100, 70, 75]",86.25,"[0.9691158411308884, 1.0516777272669333, -0.22387098158606503, 0.07430789780064002]",0.467807621,0.767591536
272,So you can see this is a generic things so that process can be added into the queue not like integer or string that we have discussed earlier.,?? ?? ??? ???? ??? ?? ?? ?? ??????? ????? ??? ???? ????????? ?? ???? ??? ????? ?? ??? ? ?? ???????? ?? ???????? ?? ??? ????? ???? ???? ????? ?? ???,"[95, 90, 69, 68]",80.5,"[0.5387802100780963, 0.17855383580414114, -0.32646996489773544, -0.5538989676637058]",-0.040758722,0.669364154
273,Elements of HTML come with some default margin and padding. Not setting these properties doesn't mean it will be absent. You can try this on your own later.,???????? ?? ???? ??? ???????? ??????? ?? ?????? ?? ??? ??? ???. ?? ????? ?? ??? ? ???? ?? ???? ?? ???? ?? ?? ?? ????????? ????. ?? ??? ??? ??? ????? ????? ???? ???.,"[85, 85, 60, 59]",72.25,"[-0.32189105202748813, -0.2580081099272549, -1.249860814702769, -1.3615935089750075]",-0.797838371,0.703195035
274,Now if result is -1 search is unsuccessful otherwise it will print the result because it return the location of the element and this is the idea about ‘Linear Search’ because if the elements stored in an array and the different techniques that you have.,?? ??? ?????? ??-1 ??? ???? ?? ?????? ?? ?????? ?? ?????? ????? ??????? ?? ???? ?? ????? ?? ?????? ?? ?? ?? '????? ???' (Linear Search) ?? ???? ??? ????? ?? ??????? ??? ???? ???? ??? ???????? ???? ?? ???? ??? ??????? ??????? ????,"[85, 85, 54, 54]",69.5,"[-0.32189105202748813, -0.2580081099272549, -1.8654547145727913, -1.8103126985923974]",-1.063916644,0.634683013
275,"Wherever required, we can use this notation or the other notation, where we use the filled diamond.","???? ?? ???????? ??, ?? ?? ?????? ?? ???? ?????? ?? ????? ?? ???? ???, ???? ?? ??? ??? ???? ?? ????? ???? ????","[90, 95, 78, 69]",83,"[0.10844457902530406, 0.6151157815355373, 0.5969208849072981, -0.4641551297402278]",0.214081529,0.719538152
276,And it became the single linked list storing all the elements and you know complexity will be very high and here also absolutely whenever you have to find a target element calculate it and then come there.,?? ?? ??? ?????? ?? ???????? ???? ???? ??? ?????? ???? ?? ?? ?? ?? ????? ??? ?? ?????? ???? ???? ???? ?? ???? ?? ?? ?? ???? ??? ?????? ???? ?????? ???? ?? ???? ???? ???? ?? ??? ????,"[95, 95, 65, 65]",80,"[0.5387802100780963, 0.6151157815355373, -0.736865898144417, -0.8231304814341397]",-0.101525097,0.607200861
277,The elements those are there in a Set is not necessarily to be in order.,"?? ??? ??? ?? ???? ???, ?? ?????? ??? ?? ????????? ???? ????","[80, 85, 78, 80]",80.75,"[-0.7522266830802803, -0.2580081099272549, 0.5969208849072981, 0.52302708741803]",0.027428295,0.674414456
278,"Next, we will use a data file to parse the data. Let me open the file student underscore record.txt in text editor.","???? ???, ?? ???? ?? ????? ???? ?? ??? ?? ???? ????? ?? ????? ??????? ???? ????? ????? ?? ??? ?????? ??? ???????. txt ?? ???????? ???? ????","[70, 65, 57, 70]",65.5,"[-1.6128979451858647, -2.0042558928528393, -1.5576577646377803, -0.3744112918167498]",-1.387305724,0.635432184
279,"Unlocking, on the other hand, unlocks any locked assignment.","????? ??, ???????? ???? ?? ????? ????????? ?? ????? ???? ???","[100, 95, 65, 68]",82,"[0.9691158411308884, 0.6151157815355373, -0.736865898144417, -0.5538989676637058]",0.073366689,0.732882679
280,In this mode we are using Arduino’s internal pull-up resistors.,?? ??? ??? ?? ???????? ?? ?????? ???-?? ?????????? ?? ????? ?? ??? ????,"[85, 80, 65, 59]",72.25,"[-0.32189105202748813, -0.694570055658651, -0.736865898144417, -1.3615935089750075]",-0.778730129,0.73758167
281,"The Dictionary is really hardly used by any programmer because the Dictionary which is now, which is earlier and the map is which is now is much more, so map gives more facilities than the Dictionary, so people prefer maps only, the Dictionary is highly overlooked here.","?? ??????? ?????? ??? ???? ?? ???? ?????????? ?????? ????? ???? ???? ??, ??????? ??????? ?? ?? ??, ?? ???? ?? ?? ?? ???????? ?? ??, ?? ???? ???? ??, ????? ???????? ??????? ?? ????? ??? ???? ???????? ???? ??, ????? ??? ???? ?????????? ?? ???? ???? ???, ??????? ?? ???? ??????? ?????? ???? ???? ???","[90, 100, 75, 75]",85,"[0.10844457902530406, 1.0516777272669333, 0.28912393497228694, 0.07430789780064002]",0.380888535,0.49612838
282,"First lets discuss Slicing,","???? ???? ?? slicing ?? ????? ???? ???,","[85, 85, 45, 89]",76,"[-0.32189105202748813, -0.2580081099272549, -2.7888455643778247, 1.3307216287293318]",-0.509505774,0.77711159
283,That means that this is a condition if it is true then the borrow method of the book object will be called.,???? ???? ?? ?? ?? ?? ???? ?? ??? ?? ?? ?? ?? ??? ???????? (book object) ?? ???? ???? ?? ??? ??????,"[90, 90, 66, 76]",80.5,"[0.10844457902530406, 0.17855383580414114, -0.6342669148327466, 0.164051735724118]",-0.045804191,0.621190608
284,"To turn ON or OFF the MB102 module, we have to press the white button.","???? 102 ??????? ?? ???? ?? ??? ???? ?? ???, ???? ???? ??? ????? ?????","[100, 95, 65, 88]",87,"[0.9691158411308884, 0.6151157815355373, -0.736865898144417, 1.2409777908058537]",0.522085879,0.753093958
285,"So, this is the idea is basically behind the sparse matrix representation.","??, ?? ????? ??? ??? ?? ???? ????????? ???????????? ?? ???? ???","[95, 100, 84, 72]",87.75,"[0.5387802100780963, 1.0516777272669333, 1.2125147847773206, -0.1949236159697939]",0.652012277,0.66485405
286,"Now there is a very interesting property that it holds that number of nodes is equals to total number of edges + 1, it is always there.","?? ?? ???? ?? ??????? ??????? ?? ?? ?? ???? ?? ?? ????? ?? ?????? ??????? ?? ??? ?????? + 1 ?? ????? ??, ?? ????? ???? ???","[85, 85, 74, 69]",78.25,"[-0.32189105202748813, -0.2580081099272549, 0.18652495166061656, -0.4641551297402278]",-0.214382335,0.673475683
287,This tutorial is recorded using Windows 10 64 bit OS WordPad and Firefox web browser However you may use any other editor or browser of your choice.,?? ?????????? Windows 10 64 bit OS WordPad ?? Firefox ??? ???????? ?? ????? ???? ??????? ???? ??? ?? ??????? ?? ???? ???? ?? ???? ???? ?????? ?? ???????? ?? ????? ?? ???? ????,"[90, 85, 73, 67]",78.75,"[0.10844457902530406, -0.2580081099272549, 0.08392596834894617, -0.6436428055871838]",-0.177320092,0.792064428
288,Further of forward contract is on both the parties.,??? ?? ?????? ????? ?????? ?? ???,"[60, 80, 53, 69]",65.5,"[-2.473569207291449, -0.694570055658651, -1.9680536978844618, -0.4641551297402278]",-1.400087023,0.713090837
289,This tutorial is recorded using Ubuntu Linux OS v 18.04 CSS3 HTML5 gedit Text Editor Firefox web browser However you may use any other editor or browser of your choice.,"?? ?????????? ??????? ?????? ??? v 18.04 CSS3 HTML5 gedit Text Editor Firefox ??? ???????? ?? ????? ???? ??????? ???? ??? ??, ??????? ?? ???? ???? ?? ???? ???? ?????? ?? ???????? ?? ????? ?? ???? ????","[85, 85, 79, 76]",81.25,"[-0.32189105202748813, -0.2580081099272549, 0.6995198682189685, 0.164051735724118]",0.07091811,0.769031227
290,So storing data into a file we have already familiar to this kind of activities while we are discussing about Stream ‘IOByte Stream’ or ‘IOCharacterStream’ there also we use that how the data can be stored either reading from the keyboard or copying from one file whatever it is there.,"????? ?? ????? ??? ???? ?? ?????? ?? ???? ?? ?? ?? ??? ?? ?????????? ?? ?????? ???, ???? ?? ??????? '??????? ???????' ?? '??????????? ???????' ?? ???? ??? ????? ?? ??? ????","[70, 65, 72, 69]",69,"[-1.6128979451858647, -2.0042558928528393, -0.018673014962724235, -0.4641551297402278]",-1.024995496,0.463125288
291,"So that is why you have to check that whether the list is empty or not, so if it is empty then it will print a message that it is empty, otherwise it will call the 'printlist' method.","????? ???? ?? ???? ???? ???? ?? ???? ???? ?? ?? ????, ????? ??? ?? ???? ?? ?? ?? ?? ????? ?????? ????? ?? ?? ???? ??, ?????? ?? '???????????' ???? ????????","[90, 100, 64, 76]",82.5,"[0.10844457902530406, 1.0516777272669333, -0.8394648814560874, 0.164051735724118]",0.12117729,0.714132667
292,Declare a variable marks Assign an array to marks The array should contain 10 random numbers Filter the marks array and display the marks divisible by 2 and 3. Open the file MyPage.html in a web browser.,?? ?????????? ????? ????? ????-??????? ?? ?? ???? ?????? ????-???? ??? 10 ????????? ??? ???? ?????-??????? ?? ???? ?? ?????? ???? ?? 2 ?? 3 ?????? ??????? ????? ?? ????????? ????-???? ??? ??????? ??? MyPage. html ???? ??????,"[75, 80, 82, 79]",79,"[-1.1825623141330726, -0.694570055658651, 1.0073168181539798, 0.43328324949455194]",-0.109133076,0.590061724
293,"All program that we have exercised in the form of a table or internal data structure is used that is the totally different and it basically remain hidden and programmer should not bother about it, so what we can say that hash map use may be array list type of data structures as a collection and here pre map use the tree type structure as a collection.","??? ????????? ?? ???? ?? ?????? ?? ?????? ???? ?????? ?? ??? ??? ?????? ??? ???, ???? ????? ???? ???? ?? ?? ???? ??? ?? ??? ?? ?? ?? ??? ??? ?? ???? ???? ?? ?? ?????????? ?? ???? ???? ??? ????? ???? ???? ?????, ????? ?? ???? ?? ???? ??? ?? ??? ??? ?? ????? ?? ?????? ?? ??? ??? ???? ???????? ?? ???? ???? ?????? ?? ???? ?? ?? ???? ????-??? ???? ???? ?????? ?? ????? ?? ?????? ?? ??? ??? ?????","[90, 90, 83, 83]",86.5,"[0.10844457902530406, 0.17855383580414114, 1.10991580146565, 0.7922586011884638]",0.547293204,0.5409078
294,Observe the output. Both the paragraphs are not displayed now.,?????? ?? ?????? ????. ????? ????????? ?? ????????? ???? ???.,"[95, 90, 69, 67]",80.25,"[0.5387802100780963, 0.17855383580414114, -0.32646996489773544, -0.6436428055871838]",-0.063194681,0.713341475
295,"The clinical symptoms of the coronavirus infection are various. Fever, cough, breathlessness, fatigue, headache, sore throat are common. Vomiting, diarrhoea, sneezing and conjunctivitis are uncommon. Infected people can also show no symptoms.","?????? ????? ??????? ?? ??????? ????? ???-??? ???? ?????, ?????, ???? ???? ??? ?????, ????, ???????, ??? ??? ???? ???? ?? ??? ??","[50, 60, 40, 40]",47.5,"[-3.3342404693970336, -2.4408178385842354, -3.301840480936177, -3.066726429521089]",-3.035906305,0.583698273
296,"This option can be also be opened using the menu bar. Next, open the set appearance window. Go to Plot menu and select Set Appearance.","?? ?????? ?? ?????? ??? ?? ????? ???? ?? ???? ?? ???? ??. ???? ???, ??? ???????? ????? ?????. ????? ???? ?? ???? ?? ??? ???????? ?? ??? ????.","[85, 85, 77, 72]",79.75,"[-0.32189105202748813, -0.2580081099272549, 0.4943219015956277, -0.1949236159697939]",-0.070125219,0.722475648
297,"Now, let us have continue this program again so that we can understand better here.","??, ??? ?? ????????? ?? ??? ?? ???? ???? ???? ?? ???? ????? ??? ?? ??? ?????","[95, 95, 89, 67]",86.5,"[0.5387802100780963, 0.6151157815355373, 1.7255097013356724, -0.6436428055871838]",0.558940722,0.754878581
298,"I will set a background image with no repeat property. Inside the input text tag, next to color property, type the code as shown.","??? ??? ?????? ??? ?? ??? ?? ????????? ??? ??? ??????. ????? ??? ??? ?? ????, ??? ??? ?? ??? ???, ???? ?????? ??? ?? ??? ???? ????.","[80, 75, 71, 68]",73.5,"[-0.7522266830802803, -1.1311320013900472, -0.12127199827439462, -0.5538989676637058]",-0.639632413,0.677120149
299,"Database root password: root123,","??????? ??? ???????? root123,","[90, 90, 85, 56]",80.25,"[0.10844457902530406, 0.17855383580414114, 1.3151137680889908, -1.6308250227454415]",-0.00717821,0.781368911
300,"To practice this tutorial, you should know to- add components to a flowsheet, select thermodynamic packages, add material and energy streams and specify their properties.","?? ?????????? ?? ?????? ???? ?? ???, ???? ?? ??????? ??? ????? ?? ??????, ????????????? ??????? ?? ??? ????, ??????? ?? ????? ?????? ?? ?????? ?? ???? ????? ?? ????????? ???? ?? ???? ??? ????? ??????","[95, 95, 65, 70]",81.25,"[0.5387802100780963, 0.6151157815355373, -0.736865898144417, -0.3744112918167498]",0.0106547,0.745507598
301,This is to indicate the compounds that will react in the reaction.,?? ?? ??????? ?? ????? ???? ?? ??? ?? ?? ??????????? ??? ??????????? ???????,"[90, 90, 87, 69]",84,"[0.10844457902530406, 0.17855383580414114, 1.5203117347123316, -0.4641551297402278]",0.335788755,0.722794592
302,Underline and uppercase the heading. Set text-shadow with black color in the heading. Link the styles.css file to webpage.html file Observe the output,?????? ?? ???????? ?? ???? ?????. ?????? ??? ???? ??? ?? ??? ???-???? ??? ????. styles. css ????? ?? webpage. html ????? ?? ?????? ?????? ?? ?????,"[80, 80, 65, 44]",67.25,"[-0.7522266830802803, -0.694570055658651, -0.736865898144417, -2.707751077827177]",-1.222853429,0.62916559
303,"Let’s select the text, written besides the arrow.","??? ??? ????? ???, ??? ?? ??? ??? ???? ???","[50, 50, 65, 76]",60.25,"[-3.3342404693970336, -3.3139417300470275, -0.736865898144417, 0.164051735724118]",-1.80524909,0.644183815
304,"So, after the TestCase import, we will import the Blog model.",????? TestCase ?? Import ?? ??? ?? Blog Model ?? Import ???????,"[80, 80, 79, 60]",74.75,"[-0.7522266830802803, -0.694570055658651, 0.6995198682189685, -1.2718496710515297]",-0.504781635,0.645372093
305,"So they are basically cater to the need of arrays namely, array list class, vectors, link list, priority queue, link hash sets, tree-set and so many things are there.","?? ?? ??? ??? ?? ???? ?? ???????? ?? ???? ???? ???, ???????, ???? ???? ????, ??????, ???? ????, ?????????? ????, ???? ??? ???, ????-??? ?? ?? ????? ????","[90, 90, 65, 82]",81.75,"[0.10844457902530406, 0.17855383580414114, -0.736865898144417, 0.7025147632649859]",0.06316182,0.705865324
306,"This is exactly not as a part of Java collection framework, it is a another framework, more precisely it is called map framework.","?? ??????? ???? ??????? ????????? (Java collection framework) ?? ?? ?????? ?? ??? ??? ???? ??, ?? ?? ???? ????????? (framework) ??, ???? ???? ??? ?? ??? ??? ????????? (map framework) ??? ???? ???","[85, 85, 68, 55]",73.25,"[-0.32189105202748813, -0.2580081099272549, -0.42906894820940583, -1.7205688606689193]",-0.682384243,0.745708823
307,Now this collection obviously is a different with different characteristics in the context that ok for example stack is a collection which implements last in first out basically policy but Queue is basically a collection characterized with first in first out or FIFO characteristics.,?? ?? ?????? ?????? ??? ?? ?????? ??? ??????? ????????? ?? ??? ?? ??? ?? ?? ?????? ?? ??? ????? ?? ?????? ?? ?? ???? ??? ??? ?? ???? ??? ????? ?? ???? ???? ?? ????? ???? ??? ??? ?? ???? ??? ?? ??????? ????????? ?? ??? ?? ?????? ???,"[85, 90, 82, 82]",84.75,"[-0.32189105202748813, 0.17855383580414114, 1.0073168181539798, 0.7025147632649859]",0.391623591,0.545300782
308,Learned to adjust zoom and move the video in preview panel,???? ?? ???????? ???? ?? ??????????? ???? ??? ?????? ?? ??????? ????,"[90, 95, 71, 77]",83.25,"[0.10844457902530406, 0.6151157815355373, -0.12127199827439462, 0.253795573647596]",0.214020984,0.707789838
309,"In the main Menu bar, we can see various options. Like File, Edit, View, Transport, Tracks and others.","????? ?????? ??? ???, ?? ????, ??????, ?????, ??????, ????? ?? ???? ???? ??????? ?????? ??? ???? ????","[85, 85, 82, 76]",82,"[-0.32189105202748813, -0.2580081099272549, 1.0073168181539798, 0.164051735724118]",0.147867348,0.777297974
310,"What is the relationship between faculty and student? If you can think of the relation that faculty teaches student, then this is an association relation.","Faculty ?? Student ?? ??? ???? ????? ??? ??? ?? ?? ????? ?? ???? ??? ??? ???? ??? ?? Faculty student ?? ?????? ??, ?? ?? ?? ???????? ?????? ???","[90, 90, 79, 68]",81.75,"[0.10844457902530406, 0.17855383580414114, 0.6995198682189685, -0.5538989676637058]",0.108154829,0.720914304
311,Notice the folder icon present in the launcher.,????? ??? ????? ??????? ???? ?? ????? ???.,"[95, 85, 59, 59]",74.5,"[0.5387802100780963, -0.2580081099272549, -1.3524597980144393, -1.3615935089750075]",-0.608320302,0.735110939
312,"So, this is the idea it shows that how the bulk operation and then copying stack can be done and in many occurrence, many situation you have to copy from here to there and there to here and that is why those are the useful what is called the 'discussion' in the context of stack related application.","??, ?? ????? ?? ?? ???? ???? ?????? ?? ??? ???? ????? ???? ?? ???? ?? ?? ?? ?????? ???, ?? ????????? ?? ???? ???? ?? ???? ?? ???? ?? ???? ???? ????? ?? ?? ??? ???? ?? ?? ?? ?????? ??? ??????? ????? ??????? ????????? ?? ?????? ??? '?????' ??? ???? ???","[95, 95, 88, 79]",89.25,"[0.5387802100780963, 0.6151157815355373, 1.622910718024002, 0.43328324949455194]",0.80252249,0.522991121
313,"Similarly, goods from P2 to S1 and S2 with transporting cost c2,1 and c2,2.","??? ???, ??2 ?? ??1 ?? ??2 ?? ????? ?? ????? ???? c2,1 ?? c2,2 ???","[95, 95, 79, 80]",87.25,"[0.5387802100780963, 0.6151157815355373, 0.6995198682189685, 0.52302708741803]",0.594110737,0.711086094
314,A rectangular current carrying coil is inserted between the poles of the magnet.,????? ?? ??????? ?? ??? ?? ??????? ??????? ?????? ???? ???? ???,"[90, 90, 81, 71]",83,"[0.10844457902530406, 0.17855383580414114, 0.9047178348423093, -0.28466745389327186]",0.226762199,0.640397608
315,"Next, we have to activate this virtual environment. Activate means, from now on all the python commands will run inside this venv.","???? ???, ???? ?? ????? ??????? ?? ?????? ???? ????? ?????? ???? ?? ???? ??, ?? ?? ??? ????? ????? ?? venv ?? ???? ???????","[85, 85, 68, 67]",76.25,"[-0.32189105202748813, -0.2580081099272549, -0.42906894820940583, -0.6436428055871838]",-0.413152729,0.748573244
316,"On the other hand, there is only 1 sign of type 2 nutrient deficiencies.","????? ??, ???? 2 ???? ?????? ?? ??? ?? ???? ?? ????? ???","[100, 100, 85, 78]",90.75,"[0.9691158411308884, 1.0516777272669333, 1.3151137680889908, 0.3435394115710739]",0.919861687,0.74799484
317,"Now let us see I create an object of this class that is the instantiation to create an objects and call this generic print method, the generic method, in this case, for this object aobj.","?? ?? ????? ??? ?? ??? ?? ???? ?? ?? ???????? (object) ????? ??? ?? ?? ???????? (object) ????? ?? ??? ??????????? (instantation) ?? ?? ?? ??????? ?????? (generic print) ???? ??, ?? ????? ???, ?? ???????? (object) aobj ?? ??? ??????? (generic) ???? ???? ???","[85, 80, 70, 76]",77.75,"[-0.32189105202748813, -0.694570055658651, -0.22387098158606503, 0.164051735724118]",-0.269070088,0.522019506
318,"So, I leave you to think about this question, but let us move forward with other example, another interesting example.","??, ??? ???? ?? ???? ?? ???? ??? ????? ?? ??? ???? ???? ???, ????? ??? ?? ???? ?????? ?? ??? ??? ?????, ?? ?? ??????? ???????","[95, 95, 76, 56]",80.5,"[0.5387802100780963, 0.6151157815355373, 0.39172291828395733, -1.6308250227454415]",-0.021301528,0.785060704
319,then you can type shift_len=shift modulus len(s),??? ?? shift _ len = shift modulus len (s) ???? ?? ???? ???,"[90, 85, 60, 69]",76,"[0.10844457902530406, -0.2580081099272549, -1.249860814702769, -0.4641551297402278]",-0.465894869,0.593280315
320,I should advise you to check both the links and learn many more things from there.,???? ???? ???? ?? ?? ?? ????? ?????? ?? ???? ???? ?? ???? ?? ?? ?? ????? ??????,"[85, 90, 50, 70]",73.75,"[-0.32189105202748813, 0.17855383580414114, -2.275850647819473, -0.3744112918167498]",-0.698399789,0.766128123
321,Then use the Align toolbar and align the objects to the centre of the page.,??? ??????? ?????? ?? ????? ???? ?? ????? ?? ?????? ??? ??????? ?? ??????? ?????,"[90, 90, 78, 69]",81.75,"[0.10844457902530406, 0.17855383580414114, 0.5969208849072981, -0.4641551297402278]",0.104941042,0.73744905
322,However there are many ideas to reduce the set of test cases by testing those cases that are more likely to show errors.,??????? ?? ?????? ?? ??????? ???? ??????? ?????? ?? ??? ?? ?? ???? ?? ??? ?? ????? ??? ?????? ????????? ?????? ?? ???? ??????? ???,"[90, 90, 68, 69]",79.25,"[0.10844457902530406, 0.17855383580414114, -0.42906894820940583, -0.4641551297402278]",-0.151556416,0.72519666
